"排序","浏览器","浏览量占比",
"0","Chrome","43.79%",
"1","IE 8.0","9.38%",
"2","IE 9.0","8.59%",
"3","QQ","6.72%",
"4","2345","5.56%",
"5","搜狗高速","4.55%",
"6","IE 7.0","3.09%",
"7","Firefox","2.09%",
"8","IE 10.0","1.81%",
"9","其他","14.42%",

"Chrome浏览器2017.07.01~2017.09.30浏览量占比"
时间,浏览量占比
="2017.07.01","41.12%",
="2017.07.02","41.06%",
="2017.07.03","42.12%",
="2017.07.04","41.82%",
="2017.07.05","41.69%",
="2017.07.06","41.94%",
="2017.07.07","42.03%",
="2017.07.08","41.78%",
="2017.07.09","41.80%",
="2017.07.10","42.64%",
="2017.07.11","42.89%",
="2017.07.12","42.73%",
="2017.07.13","42.47%",
="2017.07.14","42.71%",
="2017.07.15","41.72%",
="2017.07.16","41.86%",
="2017.07.17","42.72%",
="2017.07.18","42.68%",
="2017.07.19","42.73%",
="2017.07.20","44.27%",
="2017.07.21","44.64%",
="2017.07.22","44.01%",
="2017.07.23","44.15%",
="2017.07.24","45.18%",
="2017.07.25","44.91%",
="2017.07.26","44.51%",
="2017.07.27","44.48%",
="2017.07.28","45.04%",
="2017.07.29","44.48%",
="2017.07.30","44.31%",
="2017.07.31","45.39%",
="2017.08.01","45.29%",
="2017.08.02","45.44%",
="2017.08.03","45.61%",
="2017.08.04","44.79%",
="2017.08.05","44.83%",
="2017.08.06","45.02%",
="2017.08.07","46.17%",
="2017.08.08","46.05%",
="2017.08.09","46.16%",
="2017.08.10","45.79%",
="2017.08.11","45.73%",
="2017.08.12","45.44%",
="2017.08.13","45.35%",
="2017.08.14","45.21%",
="2017.08.15","43.72%",
="2017.08.16","44.25%",
="2017.08.17","44.68%",
="2017.08.18","44.27%",
="2017.08.19","43.54%",
="2017.08.20","44.14%",
="2017.08.21","44.90%",
="2017.08.22","44.73%",
="2017.08.23","44.09%",
="2017.08.24","42.71%",
="2017.08.25","43.41%",
="2017.08.26","41.92%",
="2017.08.27","42.93%",
="2017.08.28","44.21%",
="2017.08.29","44.61%",
="2017.08.30","44.28%",
="2017.08.31","44.42%",
="2017.09.01","44.12%",
="2017.09.02","43.64%",
="2017.09.03","42.94%",
="2017.09.04","43.84%",
="2017.09.05","43.37%",
="2017.09.06","43.69%",
="2017.09.07","43.77%",
="2017.09.08","43.47%",
="2017.09.09","43.12%",
="2017.09.10","42.51%",
="2017.09.11","43.35%",
="2017.09.12","43.23%",
="2017.09.13","42.88%",
="2017.09.14","43.32%",
="2017.09.15","42.77%",
="2017.09.16","42.46%",
="2017.09.17","42.87%",
="2017.09.18","43.47%",
="2017.09.19","43.54%",
="2017.09.20","44.66%",
="2017.09.21","43.90%",
="2017.09.22","43.37%",
="2017.09.23","43.43%",
="2017.09.24","43.27%",
="2017.09.25","43.62%",
="2017.09.26","44.07%",
="2017.09.27","43.68%",
="2017.09.28","43.65%",
="2017.09.29","44.18%",
="2017.09.30","44.74%",

"IE 8.0浏览器2017.07.01~2017.09.30浏览量占比"
时间,浏览量占比
="2017.07.01","10.09%",
="2017.07.02","10.02%",
="2017.07.03","10.02%",
="2017.07.04","10.14%",
="2017.07.05","10.32%",
="2017.07.06","10.27%",
="2017.07.07","10.21%",
="2017.07.08","10.06%",
="2017.07.09","9.95%",
="2017.07.10","10.05%",
="2017.07.11","9.75%",
="2017.07.12","10.01%",
="2017.07.13","10.11%",
="2017.07.14","10.09%",
="2017.07.15","10.59%",
="2017.07.16","10.40%",
="2017.07.17","10.16%",
="2017.07.18","10.12%",
="2017.07.19","10.20%",
="2017.07.20","9.47%",
="2017.07.21","9.18%",
="2017.07.22","9.41%",
="2017.07.23","9.25%",
="2017.07.24","9.00%",
="2017.07.25","9.07%",
="2017.07.26","9.22%",
="2017.07.27","9.22%",
="2017.07.28","8.82%",
="2017.07.29","9.07%",
="2017.07.30","9.16%",
="2017.07.31","8.86%",
="2017.08.01","8.72%",
="2017.08.02","8.59%",
="2017.08.03","8.57%",
="2017.08.04","8.98%",
="2017.08.05","8.83%",
="2017.08.06","8.66%",
="2017.08.07","8.36%",
="2017.08.08","8.42%",
="2017.08.09","8.39%",
="2017.08.10","8.54%",
="2017.08.11","8.61%",
="2017.08.12","8.58%",
="2017.08.13","8.54%",
="2017.08.14","9.60%",
="2017.08.15","11.47%",
="2017.08.16","9.46%",
="2017.08.17","9.36%",
="2017.08.18","9.61%",
="2017.08.19","9.45%",
="2017.08.20","9.23%",
="2017.08.21","8.93%",
="2017.08.22","8.87%",
="2017.08.23","9.98%",
="2017.08.24","11.86%",
="2017.08.25","10.71%",
="2017.08.26","12.40%",
="2017.08.27","10.62%",
="2017.08.28","9.16%",
="2017.08.29","8.66%",
="2017.08.30","8.85%",
="2017.08.31","8.78%",
="2017.09.01","9.06%",
="2017.09.02","9.32%",
="2017.09.03","9.54%",
="2017.09.04","9.12%",
="2017.09.05","9.22%",
="2017.09.06","8.99%",
="2017.09.07","9.11%",
="2017.09.08","9.18%",
="2017.09.09","9.34%",
="2017.09.10","9.27%",
="2017.09.11","9.21%",
="2017.09.12","9.04%",
="2017.09.13","9.26%",
="2017.09.14","8.84%",
="2017.09.15","9.06%",
="2017.09.16","9.43%",
="2017.09.17","9.20%",
="2017.09.18","9.02%",
="2017.09.19","8.80%",
="2017.09.20","8.44%",
="2017.09.21","8.79%",
="2017.09.22","9.16%",
="2017.09.23","8.72%",
="2017.09.24","8.77%",
="2017.09.25","8.88%",
="2017.09.26","8.89%",
="2017.09.27","8.97%",
="2017.09.28","8.97%",
="2017.09.29","8.80%",
="2017.09.30","8.85%",

"IE 9.0浏览器2017.07.01~2017.09.30浏览量占比"
时间,浏览量占比
="2017.07.01","10.98%",
="2017.07.02","10.64%",
="2017.07.03","10.48%",
="2017.07.04","10.37%",
="2017.07.05","10.16%",
="2017.07.06","9.92%",
="2017.07.07","9.78%",
="2017.07.08","9.78%",
="2017.07.09","9.57%",
="2017.07.10","9.48%",
="2017.07.11","9.39%",
="2017.07.12","9.47%",
="2017.07.13","9.36%",
="2017.07.14","9.25%",
="2017.07.15","9.33%",
="2017.07.16","9.16%",
="2017.07.17","9.03%",
="2017.07.18","9.02%",
="2017.07.19","8.91%",
="2017.07.20","8.31%",
="2017.07.21","8.31%",
="2017.07.22","8.35%",
="2017.07.23","8.19%",
="2017.07.24","8.17%",
="2017.07.25","8.20%",
="2017.07.26","8.38%",
="2017.07.27","8.26%",
="2017.07.28","8.04%",
="2017.07.29","7.96%",
="2017.07.30","7.91%",
="2017.07.31","7.84%",
="2017.08.01","7.86%",
="2017.08.02","7.81%",
="2017.08.03","7.76%",
="2017.08.04","7.94%",
="2017.08.05","7.75%",
="2017.08.06","7.61%",
="2017.08.07","7.56%",
="2017.08.08","7.63%",
="2017.08.09","7.58%",
="2017.08.10","7.70%",
="2017.08.11","7.74%",
="2017.08.12","7.72%",
="2017.08.13","7.58%",
="2017.08.14","7.66%",
="2017.08.15","7.85%",
="2017.08.16","8.27%",
="2017.08.17","8.21%",
="2017.08.18","8.28%",
="2017.08.19","8.23%",
="2017.08.20","8.05%",
="2017.08.21","8.06%",
="2017.08.22","8.08%",
="2017.08.23","7.95%",
="2017.08.24","8.00%",
="2017.08.25","8.10%",
="2017.08.26","8.20%",
="2017.08.27","8.22%",
="2017.08.28","8.37%",
="2017.08.29","8.42%",
="2017.08.30","8.43%",
="2017.08.31","8.58%",
="2017.09.01","8.76%",
="2017.09.02","8.59%",
="2017.09.03","8.71%",
="2017.09.04","8.85%",
="2017.09.05","9.00%",
="2017.09.06","8.80%",
="2017.09.07","8.84%",
="2017.09.08","8.91%",
="2017.09.09","8.57%",
="2017.09.10","8.58%",
="2017.09.11","9.05%",
="2017.09.12","9.14%",
="2017.09.13","9.18%",
="2017.09.14","9.11%",
="2017.09.15","9.00%",
="2017.09.16","8.44%",
="2017.09.17","8.35%",
="2017.09.18","8.81%",
="2017.09.19","8.84%",
="2017.09.20","8.64%",
="2017.09.21","8.78%",
="2017.09.22","8.85%",
="2017.09.23","8.47%",
="2017.09.24","8.45%",
="2017.09.25","8.92%",
="2017.09.26","8.84%",
="2017.09.27","8.94%",
="2017.09.28","8.86%",
="2017.09.29","8.78%",
="2017.09.30","8.29%",

"QQ浏览器2017.07.01~2017.09.30浏览量占比"
时间,浏览量占比
="2017.07.01","7.09%",
="2017.07.02","7.12%",
="2017.07.03","6.57%",
="2017.07.04","6.58%",
="2017.07.05","6.49%",
="2017.07.06","6.60%",
="2017.07.07","6.64%",
="2017.07.08","6.96%",
="2017.07.09","7.09%",
="2017.07.10","6.59%",
="2017.07.11","6.68%",
="2017.07.12","6.59%",
="2017.07.13","6.51%",
="2017.07.14","6.58%",
="2017.07.15","6.87%",
="2017.07.16","6.89%",
="2017.07.17","6.51%",
="2017.07.18","6.47%",
="2017.07.19","6.48%",
="2017.07.20","6.89%",
="2017.07.21","6.97%",
="2017.07.22","7.19%",
="2017.07.23","7.22%",
="2017.07.24","7.02%",
="2017.07.25","7.00%",
="2017.07.26","6.91%",
="2017.07.27","7.00%",
="2017.07.28","7.12%",
="2017.07.29","7.37%",
="2017.07.30","7.42%",
="2017.07.31","7.12%",
="2017.08.01","7.19%",
="2017.08.02","7.09%",
="2017.08.03","7.14%",
="2017.08.04","6.97%",
="2017.08.05","7.41%",
="2017.08.06","7.49%",
="2017.08.07","7.24%",
="2017.08.08","7.25%",
="2017.08.09","7.23%",
="2017.08.10","7.19%",
="2017.08.11","7.23%",
="2017.08.12","7.52%",
="2017.08.13","7.57%",
="2017.08.14","7.05%",
="2017.08.15","6.73%",
="2017.08.16","6.84%",
="2017.08.17","6.82%",
="2017.08.18","6.77%",
="2017.08.19","7.23%",
="2017.08.20","7.27%",
="2017.08.21","6.87%",
="2017.08.22","6.97%",
="2017.08.23","6.83%",
="2017.08.24","6.63%",
="2017.08.25","6.76%",
="2017.08.26","6.87%",
="2017.08.27","6.90%",
="2017.08.28","6.58%",
="2017.08.29","6.58%",
="2017.08.30","6.70%",
="2017.08.31","6.52%",
="2017.09.01","6.33%",
="2017.09.02","6.94%",
="2017.09.03","6.81%",
