"网民上网时间分布（2017.07.01~2017.09.30）",
"时间段","浏览量占比",
"00:00~00:59","3.19%",
"01:00~01:59","2.03%",
"02:00~02:59","1.35%",
"03:00~03:59","0.99%",
"04:00~04:59","0.88%",
"05:00~05:59","1.15%",
"06:00~06:59","1.96%",
"07:00~07:59","2.85%",
"08:00~08:59","4.15%",
"09:00~09:59","5.11%",
"10:00~10:59","5.51%",
"11:00~11:59","5.43%",
"12:00~12:59","5.37%",
"13:00~13:59","5.62%",
"14:00~14:59","5.65%",
"15:00~15:59","5.77%",
"16:00~16:59","5.69%",
"17:00~17:59","5.33%",
"18:00~18:59","4.92%",
"19:00~19:59","5.17%",
"20:00~20:59","5.74%",
"21:00~21:59","6.03%",
"22:00~22:59","5.62%",
"23:00~23:59","4.48%",

