"排序","操作系统","浏览量占比",
"0","Win 7","61.83%",
"1","Win XP","17.57%",
"2","Win 10","11.22%",
"3","Win 8","4.18%",
"4","其他","5.2%",

"Win 7操作系统2017.07.01~2017.09.30浏览量占比"
时间,浏览量占比
="2017.07.01","62.23%",
="2017.07.02","61.62%",
="2017.07.03","62.53%",
="2017.07.04","62.55%",
="2017.07.05","62.29%",
="2017.07.06","62.17%",
="2017.07.07","62.20%",
="2017.07.08","61.64%",
="2017.07.09","61.38%",
="2017.07.10","62.03%",
="2017.07.11","61.98%",
="2017.07.12","62.36%",
="2017.07.13","62.42%",
="2017.07.14","62.25%",
="2017.07.15","61.95%",
="2017.07.16","61.50%",
="2017.07.17","62.37%",
="2017.07.18","62.43%",
="2017.07.19","62.54%",
="2017.07.20","61.69%",
="2017.07.21","61.86%",
="2017.07.22","61.38%",
="2017.07.23","61.02%",
="2017.07.24","61.62%",
="2017.07.25","61.72%",
="2017.07.26","61.85%",
="2017.07.27","61.74%",
="2017.07.28","61.59%",
="2017.07.29","61.12%",
="2017.07.30","60.67%",
="2017.07.31","61.35%",
="2017.08.01","61.28%",
="2017.08.02","0.00%",
="2017.08.03","61.33%",
="2017.08.04","61.47%",
="2017.08.05","60.72%",
="2017.08.06","60.23%",
="2017.08.07","60.92%",
="2017.08.08","61.18%",
="2017.08.09","61.06%",
="2017.08.10","61.26%",
="2017.08.11","61.51%",
="2017.08.12","60.82%",
="2017.08.13","60.32%",
="2017.08.14","61.80%",
="2017.08.15","62.64%",
="2017.08.16","61.70%",
="2017.08.17","61.59%",
="2017.08.18","61.66%",
="2017.08.19","61.23%",
="2017.08.20","60.82%",
="2017.08.21","61.64%",
="2017.08.22","61.54%",
="2017.08.23","62.10%",
="2017.08.24","63.26%",
="2017.08.25","62.88%",
="2017.08.26","63.22%",
="2017.08.27","61.72%",
="2017.08.28","0.00%",
="2017.08.29","61.98%",
="2017.08.30","61.99%",
="2017.08.31","62.29%",
="2017.09.01","62.55%",
="2017.09.02","61.54%",
="2017.09.03","61.23%",
="2017.09.04","62.68%",
="2017.09.05","62.65%",
="2017.09.06","62.71%",
="2017.09.07","62.51%",
="2017.09.08","62.56%",
="2017.09.09","61.64%",
="2017.09.10","60.79%",
="2017.09.11","62.52%",
="2017.09.12","62.30%",
="2017.09.13","62.10%",
="2017.09.14","62.22%",
="2017.09.15","62.22%",
="2017.09.16","61.04%",
="2017.09.17","60.41%",
="2017.09.18","0.00%",
="2017.09.19","62.35%",
="2017.09.20","62.26%",
="2017.09.21","62.41%",
="2017.09.22","62.42%",
="2017.09.23","61.29%",
="2017.09.24","60.69%",
="2017.09.25","62.45%",
="2017.09.26","62.42%",
="2017.09.27","62.17%",
="2017.09.28","62.31%",
="2017.09.29","62.27%",
="2017.09.30","62.11%",

"Win XP操作系统2017.07.01~2017.09.30浏览量占比"
时间,浏览量占比
="2017.07.01","18.10%",
="2017.07.02","17.89%",
="2017.07.03","18.30%",
="2017.07.04","18.31%",
="2017.07.05","18.48%",
="2017.07.06","18.64%",
="2017.07.07","18.63%",
