"排序","屏幕分辨率","浏览量占比",
"0","360x640","32.7%",
"1","1920x1080","13.12%",
"2","1366x768","6.03%",
"3","375x667","4.98%",
"4","1440x900","4.58%",
"5","414x736","3.17%",
"6","1024x768","2.82%",
"7","1600x900","2.57%",
"8","720x1280","2.24%",
"9","320x568","1.74%",
"10","640x360","1.71%",
"11","其他","24.32%",

"360x640分辨率2017.07.01~2017.09.30浏览量占比"
时间,浏览量占比
="2017.07.01","30.37%",
="2017.07.02","31.20%",
="2017.07.03","29.08%",
="2017.07.04","29.31%",
="2017.07.05","29.24%",
="2017.07.06","29.49%",
="2017.07.07","29.32%",
="2017.07.08","31.09%",
="2017.07.09","31.68%",
="2017.07.10","29.45%",
="2017.07.11","29.72%",
="2017.07.12","30.01%",
="2017.07.13","30.12%",
="2017.07.14","30.32%",
="2017.07.15","31.95%",
="2017.07.16","32.18%",
="2017.07.17","30.05%",
="2017.07.18","30.07%",
="2017.07.19","29.64%",
="2017.07.20","29.49%",
="2017.07.21","29.65%",
="2017.07.22","31.76%",
="2017.07.23","32.51%",
="2017.07.24","30.06%",
="2017.07.25","30.30%",
="2017.07.26","31.17%",
="2017.07.27","31.34%",
="2017.07.28","31.33%",
="2017.07.29","32.88%",
="2017.07.30","34.62%",
="2017.07.31","31.82%",
="2017.08.01","32.11%",
="2017.08.02","32.28%",
="2017.08.03","32.01%",
="2017.08.04","31.79%",
="2017.08.05","33.66%",
="2017.08.06","34.13%",
="2017.08.07","31.69%",
="2017.08.08","31.38%",
="2017.08.09","31.53%",
="2017.08.10","31.93%",
="2017.08.11","32.09%",
="2017.08.12","33.57%",
="2017.08.13","33.99%",
="2017.08.14","31.58%",
="2017.08.15","31.71%",
="2017.08.16","32.56%",
="2017.08.17","32.96%",
="2017.08.18","32.97%",
="2017.08.19","34.91%",
="2017.08.20","35.32%",
="2017.08.21","32.72%",
="2017.08.22","32.84%",
="2017.08.23","32.22%",
="2017.08.24","31.64%",
="2017.08.25","32.20%",
="2017.08.26","34.14%",
="2017.08.27","35.22%",
="2017.08.28","32.79%",
="2017.08.29","33.11%",
="2017.08.30","32.86%",
="2017.08.31","32.49%",
="2017.09.01","33.33%",
="2017.09.02","35.14%",
="2017.09.03","35.47%",
="2017.09.04","33.37%",
="2017.09.05","33.43%",
="2017.09.06","33.44%",
="2017.09.07","33.88%",
="2017.09.08","33.82%",
="2017.09.09","35.29%",
="2017.09.10","36.06%",
="2017.09.11","33.34%",
="2017.09.12","33.32%",
="2017.09.13","33.31%",
="2017.09.14","33.77%",
="2017.09.15","33.54%",
="2017.09.16","35.36%",
="2017.09.17","36.45%",
="2017.09.18","33.86%",
="2017.09.19","34.18%",
