"排序","流量入口","浏览量占比",
"0","直接访问","39.89%",
"1","其他外链","29.92%",
"2","搜索引擎","29%",
"3","导航网站","0.99%",
"4","社会化媒体","0.21%",

"直接访问 2017.07.01~2017.09.30浏览量占比"
时间,浏览量占比
="2017.07.01","34.81%",
="2017.07.02","55.15%",
="2017.07.03","34.04%",
="2017.07.04","54.95%",
="2017.07.05","34.58%",
="2017.07.06","34.22%",
="2017.07.07","56.13%",
="2017.07.08","35.85%",
="2017.07.09","55.51%",
="2017.07.10","55.51%",
="2017.07.11","55.31%",
="2017.07.12","55.92%",
="2017.07.13","56.63%",
="2017.07.14","35.22%",
="2017.07.15","35.25%",
="2017.07.16","57.09%",
="2017.07.17","35.07%",
="2017.07.18","35.08%",
="2017.07.19","35.48%",
="2017.07.20","33.27%",
="2017.07.21","57.23%",
="2017.07.22","57.12%",
="2017.07.23","33.49%",
="2017.07.24","32.98%",
="2017.07.25","33.41%",
="2017.07.26","34.68%",
="2017.07.27","34.36%",
="2017.07.28","33.48%",
="2017.07.29","33.76%",
="2017.07.30","57.60%",
="2017.07.31","33.34%",
="2017.08.01","33.76%",
="2017.08.02","33.90%",
="2017.08.03","33.88%",
="2017.08.04","34.44%",
="2017.08.05","34.92%",
="2017.08.06","34.89%",
="2017.08.07","57.68%",
="2017.08.08","57.80%",
="2017.08.09","34.40%",
="2017.08.10","34.05%",
="2017.08.11","34.74%",
="2017.08.12","34.45%",
="2017.08.13","58.43%",
="2017.08.14","33.80%",
="2017.08.15","34.97%",
="2017.08.16","36.82%",
="2017.08.17","57.87%",
="2017.08.18","58.86%",
="2017.08.19","37.31%",
="2017.08.20","37.31%",
="2017.08.21","36.77%",
="2017.08.22","36.68%",
="2017.08.23","36.27%",
="2017.08.24","36.24%",
="2017.08.25","36.21%",
="2017.08.26","37.67%",
="2017.08.27","37.98%",
="2017.08.28","37.29%",
="2017.08.29","36.82%",
="2017.08.30","36.60%",
="2017.08.31","58.93%",
="2017.09.01","37.00%",
="2017.09.02","36.19%",
="2017.09.03","35.69%",
="2017.09.04","58.45%",
="2017.09.05","36.59%",
="2017.09.06","36.86%",
="2017.09.07","36.84%",
="2017.09.08","60.15%",
="2017.09.09","36.55%",
="2017.09.10","36.54%",
="2017.09.11","36.76%",
="2017.09.12","36.61%",
="2017.09.13","59.16%",
="2017.09.14","37.20%",
="2017.09.15","38.19%",
="2017.09.16","37.46%",
="2017.09.17","37.03%",
="2017.09.18","58.94%",
="2017.09.19","37.12%",
="2017.09.20","37.54%",
="2017.09.21","37.41%",
="2017.09.22","38.04%",
="2017.09.23","37.06%",
="2017.09.24","36.95%",
="2017.09.25","36.68%",
="2017.09.26","58.36%",
="2017.09.27","58.25%",
="2017.09.28","37.01%",
="2017.09.29","59.71%",
